year,military_jobs,w_geocode,Base,PSRC_ID,BKRCastTAZ
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
2014,59.0,531000000000000.0,JBLM North Fort,196.0,1319
